dc_id,sku_id,category,physical_stock,in_transit_stock,effective_stock,avg_daily_sales,sales_trend_7d,projected_daily_sales,hourly_sales,safety_stock,stock_to_sales_ratio,days_of_cover,day_of_week,is_weekend,hour_of_day,lead_time_hours,projected_48h_sales,expected_stock_at_48h,hours_until_shortage,will_shortage
DC-02,SKU-011,cardiac,97,0,97,23.1,1.118,25.84,1.0766,12,3.754,3.75,0,0,2,18,51.68,45.32,48.0,0
DC-01,SKU-003,antiviral,449,158,607,102.2,1.477,150.96,6.2902,75,4.021,4.02,5,1,2,18,301.93,305.07,48.0,0
DC-04,SKU-006,antibiotic,143,101,244,74.38,0.634,47.18,1.9656,23,5.172,5.17,0,0,14,6,94.35,149.65,48.0,0
DC-01,SKU-001,cardiac,237,16,253,81.8,1.472,120.41,5.0172,60,2.101,2.1,3,0,14,48,240.83,12.17,38.47,1
DC-02,SKU-008,antiviral,96,31,127,49.85,1.291,64.38,2.6827,32,1.973,1.97,5,1,14,18,128.77,-1.77,35.41,1
DC-04,SKU-011,cardiac,42,0,42,11.07,0.685,7.59,0.3161,3,5.536,5.54,2,0,1,18,15.17,26.83,48.0,0
DC-05,SKU-011,cardiac,188,30,218,114.5,1.278,146.36,6.0982,73,1.49,1.49,3,0,1,18,292.71,-74.71,23.78,1
DC-02,SKU-009,antiviral,0,0,0,22.28,0.692,15.43,0.6428,7,0.0,0.0,0,0,7,18,30.86,-30.86,0.0,1
DC-01,SKU-009,antiviral,0,0,0,12.58,1.203,15.13,0.6306,7,0.0,0.0,3,0,13,36,30.27,-30.27,0.0,1
DC-02,SKU-009,antiviral,40,0,40,63.42,1.201,76.14,3.1724,38,0.525,0.53,3,0,18,18,152.27,-112.27,0.63,1
DC-05,SKU-004,reefer,239,55,294,50.05,0.772,38.62,1.609,19,7.613,7.61,0,0,9,18,77.23,216.77,48.0,0
DC-03,SKU-003,antiviral,177,10,187,52.33,0.905,47.37,1.9738,23,3.948,3.95,0,0,8,18,94.74,92.26,48.0,0
DC-02,SKU-012,antiviral,118,99,217,63.93,1.335,85.34,3.556,42,2.543,2.54,3,0,8,36,170.69,46.31,48.0,0
DC-05,SKU-012,antiviral,111,0,111,33.3,0.762,25.39,1.0578,12,4.372,4.37,5,1,10,24,50.77,60.23,48.0,0
DC-01,SKU-007,antiviral,76,55,131,53.62,1.337,71.7,2.9874,35,1.827,1.83,3,0,5,18,143.4,-12.4,32.13,1
DC-04,SKU-011,cardiac,279,0,279,91.67,0.953,87.35,3.6395,43,3.194,3.19,5,1,14,36,174.7,104.3,48.0,0
DC-03,SKU-007,antiviral,24,2,26,18.69,1.086,20.3,0.8459,10,1.281,1.28,2,0,8,48,40.6,-14.6,18.91,1
DC-05,SKU-011,cardiac,299,0,299,91.53,1.087,99.45,4.1436,49,3.007,3.01,3,0,10,12,198.89,100.11,48.0,0
DC-02,SKU-011,cardiac,563,22,585,115.81,0.697,80.7,3.3626,40,7.249,7.25,6,1,10,24,161.41,423.59,48.0,0
DC-03,SKU-014,antibiotic,84,0,84,48.49,0.871,42.23,1.7597,21,1.989,1.99,1,0,14,12,84.47,-0.47,35.8,1
DC-05,SKU-011,cardiac,26,9,35,8.42,1.255,10.57,0.4403,5,3.312,3.31,4,0,12,36,21.14,13.86,48.0,0
DC-01,SKU-015,cardiac,124,0,124,52.83,1.321,69.79,2.9081,34,1.777,1.78,3,0,22,12,139.59,-15.59,30.95,1
DC-05,SKU-007,antiviral,0,0,0,55.91,0.941,52.63,2.1931,26,0.0,0.0,0,0,21,6,105.27,-105.27,0.0,1
DC-03,SKU-001,cardiac,19,0,19,10.27,1.167,11.98,0.4992,5,1.586,1.59,0,0,12,24,23.96,-4.96,28.04,1
DC-03,SKU-005,reefer,89,0,89,115.13,1.483,170.7,7.1126,85,0.521,0.52,4,0,8,24,341.4,-252.4,0.56,1
DC-03,SKU-012,antiviral,289,0,289,88.36,1.163,102.74,4.2808,51,2.813,2.81,0,0,4,12,205.48,83.52,48.0,0
DC-02,SKU-004,reefer,2,0,2,3.5,1.478,5.17,0.2156,2,0.387,0.39,5,1,3,48,10.35,-8.35,0.0,1
DC-05,SKU-010,reefer,137,191,328,104.95,1.178,123.6,5.1499,61,2.654,2.65,0,0,1,12,247.2,80.8,48.0,0
DC-04,SKU-008,antiviral,129,15,144,61.09,1.26,76.98,3.2077,38,1.871,1.87,5,1,4,18,153.97,-9.97,33.05,1
DC-01,SKU-014,antibiotic,122,0,122,64.34,0.944,60.73,2.5304,30,2.009,2.01,5,1,21,24,121.46,0.54,36.36,1
DC-01,SKU-006,antibiotic,96,33,129,87.93,1.074,94.42,3.9341,47,1.366,1.37,4,0,12,24,188.84,-59.84,20.84,1
DC-04,SKU-015,cardiac,249,20,269,78.4,0.625,48.96,2.04,24,5.494,5.49,1,0,23,12,97.92,171.08,48.0,0
DC-02,SKU-014,antibiotic,483,0,483,116.64,1.42,165.64,6.9015,82,2.916,2.92,5,1,5,18,331.27,151.73,48.0,0
DC-02,SKU-005,reefer,514,0,514,103.15,0.901,92.94,3.8727,46,5.53,5.53,1,0,22,24,185.89,328.11,48.0,0
DC-01,SKU-002,reefer,155,45,200,36.92,0.899,33.19,1.3828,16,6.026,6.03,5,1,17,18,66.38,133.62,48.0,0
DC-05,SKU-009,antiviral,320,0,320,93.01,1.348,125.41,5.2253,62,2.552,2.55,6,1,23,12,250.81,69.19,48.0,0
DC-05,SKU-006,antibiotic,171,42,213,57.33,1.175,67.34,2.8057,33,3.163,3.16,0,0,10,12,134.67,78.33,48.0,0
DC-02,SKU-010,reefer,132,14,146,41.09,1.384,56.87,2.3697,28,2.567,2.57,0,0,3,18,113.75,32.25,48.0,0
DC-03,SKU-006,antibiotic,579,75,654,111.69,0.669,74.67,3.1112,37,8.759,8.76,1,0,4,24,149.34,504.66,48.0,0
DC-02,SKU-014,antibiotic,457,68,525,77.97,1.196,93.26,3.8857,46,5.63,5.63,3,0,4,18,186.51,338.49,48.0,0
DC-01,SKU-007,antiviral,58,0,58,53.8,0.929,49.96,2.0819,24,1.161,1.16,2,0,21,18,99.93,-41.93,16.33,1
DC-05,SKU-010,reefer,257,0,257,71.58,0.728,52.14,2.1725,26,4.929,4.93,3,0,21,6,104.28,152.72,48.0,0
DC-03,SKU-014,antibiotic,27,8,35,12.22,1.051,12.84,0.5351,6,2.726,2.73,3,0,13,12,25.68,9.32,48.0,0
DC-05,SKU-010,reefer,117,6,123,44.62,1.04,46.41,1.9337,23,2.65,2.65,5,1,20,12,92.82,30.18,48.0,0
DC-02,SKU-003,antiviral,218,0,218,80.66,1.448,116.78,4.8659,58,1.867,1.87,0,0,13,18,233.56,-15.56,32.88,1
DC-04,SKU-001,cardiac,243,110,353,78.94,1.461,115.32,4.8049,57,3.061,3.06,2,0,16,12,230.64,122.36,48.0,0
DC-03,SKU-013,reefer,174,0,174,58.4,0.781,45.63,1.9013,22,3.813,3.81,3,0,21,18,91.26,82.74,48.0,0
DC-05,SKU-007,antiviral,253,0,253,70.77,1.196,84.61,3.5255,42,2.99,2.99,5,1,4,24,169.22,83.78,48.0,0
DC-02,SKU-001,cardiac,6,1,7,7.99,0.985,7.87,0.328,3,0.889,0.89,6,1,12,12,15.74,-8.74,12.19,1
DC-05,SKU-012,antiviral,287,2,289,59.04,0.977,57.7,2.4043,28,5.008,5.01,1,0,19,18,115.41,173.59,48.0,0
DC-02,SKU-008,antiviral,546,3,549,119.12,0.948,112.93,4.7053,56,4.862,4.86,0,0,1,6,225.86,323.14,48.0,0
DC-04,SKU-002,reefer,198,97,295,87.81,1.147,100.68,4.1951,50,2.93,2.93,3,0,13,6,201.37,93.63,48.0,0
DC-02,SKU-002,reefer,85,39,124,51.96,0.879,45.69,1.9037,22,2.714,2.71,3,0,18,18,91.38,32.62,48.0,0
DC-05,SKU-007,antiviral,0,9,9,45.46,1.357,61.68,2.5701,30,0.146,0.15,5,1,18,36,123.36,-114.36,0.0,1
DC-02,SKU-006,antibiotic,57,16,73,24.89,1.149,28.6,1.1918,14,2.552,2.55,5,1,17,6,57.21,15.79,48.0,0
DC-01,SKU-002,reefer,12,9,21,25.77,0.712,18.34,0.764,9,1.145,1.15,5,1,2,24,36.67,-15.67,15.71,1
DC-04,SKU-003,antiviral,276,188,464,57.68,1.269,73.17,3.0488,36,6.341,6.34,0,0,12,6,146.34,317.66,48.0,0
DC-02,SKU-002,reefer,160,3,163,64.48,1.363,87.91,3.663,43,1.854,1.85,6,1,20,24,175.82,-12.82,32.76,1
DC-03,SKU-004,reefer,110,0,110,55.61,1.384,76.95,3.2062,38,1.43,1.43,1,0,20,18,153.9,-43.9,22.46,1
DC-03,SKU-007,antiviral,156,35,191,41.77,1.201,50.16,2.0898,25,3.808,3.81,4,0,18,18,100.31,90.69,48.0,0
DC-05,SKU-015,cardiac,272,0,272,52.48,1.139,59.77,2.4904,29,4.551,4.55,4,0,11,6,119.54,152.46,48.0,0
DC-01,SKU-004,reefer,109,2,111,39.13,1.233,48.24,2.0101,24,2.301,2.3,3,0,23,12,96.48,14.52,43.28,1
DC-05,SKU-004,reefer,50,65,115,15.79,1.494,23.6,0.9833,11,4.873,4.87,3,0,10,36,47.2,67.8,48.0,0
DC-05,SKU-006,antibiotic,120,31,151,72.59,1.286,93.35,3.8897,46,1.618,1.62,6,1,13,18,186.71,-35.71,26.99,1
DC-04,SKU-004,reefer,108,5,113,54.7,1.365,74.66,3.111,37,1.513,1.51,1,0,6,12,149.33,-36.33,24.43,1
DC-04,SKU-002,reefer,9,2,11,17.83,0.707,12.62,0.5257,6,0.872,0.87,5,1,5,48,25.23,-14.23,9.51,1
DC-02,SKU-015,cardiac,202,114,316,94.15,0.953,89.76,3.7402,44,3.52,3.52,5,1,5,12,179.53,136.47,48.0,0
DC-05,SKU-010,reefer,62,167,229,88.96,0.642,57.1,2.379,28,4.011,4.01,6,1,6,6,114.19,114.81,48.0,0
DC-01,SKU-007,antiviral,84,42,126,51.8,1.198,62.09,2.587,31,2.029,2.03,4,0,4,24,124.18,1.82,36.72,1
DC-02,SKU-014,antibiotic,63,0,63,87.41,0.902,78.82,3.2842,39,0.799,0.8,4,0,8,12,157.64,-94.64,7.31,1
DC-04,SKU-008,antiviral,79,0,79,19.28,1.139,21.95,0.9145,10,3.599,3.6,2,0,16,6,43.9,35.1,48.0,0
DC-04,SKU-005,reefer,289,0,289,76.87,0.717,55.14,2.2977,27,5.241,5.24,4,0,3,6,110.29,178.71,48.0,0
DC-04,SKU-004,reefer,0,92,92,104.04,1.007,104.72,4.3632,52,0.879,0.88,5,1,23,18,209.43,-117.43,9.17,1
DC-05,SKU-009,antiviral,232,0,232,94.05,0.915,86.08,3.5867,43,2.695,2.7,4,0,16,12,172.16,59.84,48.0,0
DC-04,SKU-002,reefer,37,72,109,41.78,1.127,47.08,1.9616,23,2.315,2.32,2,0,10,36,94.16,14.84,43.84,1
DC-05,SKU-003,antiviral,4,6,10,68.19,1.307,89.13,3.7136,44,0.112,0.11,5,1,4,24,178.25,-168.25,0.0,1
DC-03,SKU-001,cardiac,240,34,274,85.07,1.373,116.8,4.8666,58,2.346,2.35,5,1,1,24,233.6,40.4,44.38,0
DC-05,SKU-009,antiviral,0,43,43,85.49,1.262,107.9,4.4958,53,0.399,0.4,6,1,0,12,215.8,-172.8,0.0,1
DC-03,SKU-002,reefer,70,0,70,21.19,1.161,24.6,1.0251,12,2.845,2.85,3,0,22,36,49.21,20.79,48.0,0
DC-02,SKU-004,reefer,290,37,327,55.97,0.814,45.56,1.8983,22,7.178,7.18,3,0,3,18,91.12,235.88,48.0,0
DC-02,SKU-004,reefer,186,20,206,112.21,1.393,156.29,6.5122,78,1.318,1.32,4,0,2,24,312.59,-106.59,19.66,1
DC-02,SKU-005,reefer,68,0,68,85.68,1.468,125.81,5.2422,62,0.54,0.54,6,1,23,12,251.62,-183.62,1.14,0
DC-02,SKU-010,reefer,256,0,256,68.97,1.314,90.63,3.7764,45,2.825,2.82,1,0,18,36,181.27,74.73,48.0,0
DC-03,SKU-008,antiviral,175,100,275,40.47,1.161,46.97,1.9573,23,5.854,5.85,3,0,14,18,93.95,181.05,48.0,0
DC-05,SKU-003,antiviral,284,0,284,66.22,0.893,59.17,2.4653,29,4.8,4.8,5,1,13,12,118.33,165.67,48.0,0
DC-05,SKU-004,reefer,125,105,230,91.71,1.167,107.06,4.4607,53,2.148,2.15,4,0,15,18,214.12,15.88,39.68,1
DC-03,SKU-007,antiviral,52,0,52,52.22,1.259,65.76,2.7399,32,0.791,0.79,5,1,0,36,131.52,-79.52,7.3,1
DC-02,SKU-002,reefer,46,0,46,73.79,1.368,100.97,4.207,50,0.456,0.46,2,0,10,24,201.94,-155.94,0.0,1
DC-01,SKU-008,antiviral,122,87,209,68.19,0.677,46.16,1.9233,23,4.528,4.53,1,0,23,24,92.32,116.68,48.0,0
DC-05,SKU-005,reefer,75,36,111,49.07,1.297,63.62,2.6509,31,1.745,1.74,2,0,11,18,127.24,-16.24,30.18,1
DC-01,SKU-001,cardiac,9,5,14,10.43,0.767,8.0,0.3334,4,1.75,1.75,4,0,18,18,16.0,-2.0,29.99,1
DC-03,SKU-005,reefer,0,49,49,74.81,1.041,77.92,3.2465,38,0.629,0.63,1,0,5,18,155.83,-106.83,3.39,1
DC-01,SKU-003,antiviral,129,0,129,67.67,1.154,78.06,3.2525,39,1.653,1.65,4,0,23,6,156.12,-27.12,27.67,1
DC-04,SKU-003,antiviral,153,11,164,94.42,1.432,135.26,5.6359,67,1.212,1.21,5,1,8,24,270.52,-106.52,17.21,1
DC-03,SKU-001,cardiac,167,54,221,35.66,0.666,23.76,0.9902,11,9.299,9.3,0,0,1,12,47.53,173.47,48.0,0
DC-05,SKU-004,reefer,283,66,349,78.75,1.104,86.97,3.6236,43,4.013,4.01,2,0,10,24,173.93,175.07,48.0,0
DC-03,SKU-001,cardiac,331,152,483,81.32,1.439,117.05,4.877,58,4.127,4.13,3,0,15,18,234.09,248.91,48.0,0
DC-05,SKU-009,antiviral,193,61,254,92.77,0.81,75.11,3.1295,37,3.382,3.38,5,1,13,36,150.22,103.78,48.0,0
DC-05,SKU-001,cardiac,88,67,155,71.08,1.35,95.97,3.9989,47,1.615,1.62,4,0,20,12,191.95,-36.95,27.01,1
DC-02,SKU-015,cardiac,89,53,142,60.64,1.357,82.31,3.4298,41,1.725,1.73,5,1,10,24,164.63,-22.63,29.45,1
DC-04,SKU-014,antibiotic,16,0,16,6.06,0.759,4.6,0.1915,2,3.481,3.48,2,0,13,36,9.19,6.81,48.0,0
DC-02,SKU-005,reefer,178,0,178,80.8,0.875,70.7,2.9457,35,2.518,2.52,2,0,11,48,141.4,36.6,48.0,0
DC-04,SKU-008,antiviral,157,0,157,54.77,1.086,59.47,2.4778,29,2.64,2.64,3,0,1,24,118.93,38.07,48.0,0
DC-05,SKU-015,cardiac,0,71,71,89.11,0.605,53.93,2.2473,26,1.316,1.32,6,1,16,24,107.87,-36.87,20.02,1
DC-04,SKU-012,antiviral,284,48,332,67.38,0.617,41.59,1.733,20,7.982,7.98,2,0,23,12,83.18,248.82,48.0,0
DC-03,SKU-006,antibiotic,123,0,123,95.13,0.78,74.22,3.0924,37,1.657,1.66,6,1,9,24,148.44,-25.44,27.81,1
DC-03,SKU-005,reefer,25,7,32,38.49,1.387,53.38,2.2241,26,0.599,0.6,4,0,23,24,106.76,-74.76,2.7,1
DC-05,SKU-012,antiviral,207,215,422,79.82,0.899,71.75,2.9898,35,5.881,5.88,1,0,11,24,143.51,278.49,48.0,0
DC-03,SKU-002,reefer,8,0,8,4.57,0.892,4.08,0.1701,2,1.96,1.96,3,0,13,24,8.16,-0.16,35.28,1
DC-05,SKU-015,cardiac,248,56,304,103.13,1.252,129.11,5.3796,64,2.355,2.35,0,0,6,24,258.22,45.78,44.61,1
DC-03,SKU-009,antiviral,233,78,311,60.67,1.196,72.55,3.0228,36,4.287,4.29,5,1,5,36,145.09,165.91,48.0,0
DC-02,SKU-007,antiviral,211,0,211,58.66,0.857,50.26,2.0943,25,4.198,4.2,1,0,15,24,100.53,110.47,48.0,0
DC-02,SKU-009,antiviral,52,23,75,15.77,1.394,21.98,0.916,10,3.412,3.41,1,0,1,18,43.97,31.03,48.0,0
DC-03,SKU-010,reefer,143,0,143,50.49,1.429,72.14,3.0059,36,1.982,1.98,2,0,9,48,144.28,-1.28,35.6,1
DC-04,SKU-012,antiviral,6,0,6,3.56,0.66,2.35,0.0978,1,2.555,2.56,2,0,11,24,4.7,1.3,48.0,0
DC-01,SKU-011,cardiac,16,32,48,13.22,0.698,9.22,0.3843,4,5.204,5.2,5,1,12,48,18.45,29.55,48.0,0
DC-04,SKU-012,antiviral,294,0,294,80.79,1.014,81.93,3.4138,40,3.588,3.59,3,0,10,18,163.86,130.14,48.0,0
DC-01,SKU-005,reefer,135,25,160,78.99,0.803,63.45,2.6436,31,2.522,2.52,3,0,12,24,126.9,33.1,48.0,0
DC-02,SKU-003,antiviral,34,96,130,119.1,0.693,82.56,3.4401,41,1.575,1.57,5,1,15,36,165.12,-35.12,25.87,1
DC-02,SKU-013,reefer,156,111,267,87.76,0.638,55.97,2.332,27,4.771,4.77,5,1,15,12,111.94,155.06,48.0,0
DC-05,SKU-014,antibiotic,69,0,69,75.21,1.249,93.97,3.9153,46,0.734,0.73,2,0,2,12,187.94,-118.94,5.87,1
DC-01,SKU-002,reefer,148,79,227,88.92,0.748,66.53,2.7723,33,3.412,3.41,5,1,13,24,133.07,93.93,48.0,0
DC-04,SKU-001,cardiac,296,88,384,105.35,0.872,91.91,3.8297,45,4.178,4.18,5,1,8,18,183.83,200.17,48.0,0
DC-04,SKU-012,antiviral,42,0,42,19.79,0.964,19.08,0.7948,9,2.202,2.2,6,1,14,6,38.15,3.85,41.52,1
DC-02,SKU-015,cardiac,127,0,127,47.22,1.348,63.67,2.653,31,1.995,1.99,1,0,0,6,127.35,-0.35,36.19,1
DC-05,SKU-007,antiviral,312,90,402,54.6,0.816,44.57,1.8571,22,9.019,9.02,0,0,18,36,89.14,312.86,48.0,0
DC-02,SKU-010,reefer,271,129,400,80.71,1.418,114.45,4.7687,57,3.495,3.49,3,0,1,12,228.9,171.1,48.0,1
DC-01,SKU-013,reefer,145,117,262,47.27,1.354,63.99,2.6663,31,4.094,4.09,2,0,12,24,127.98,134.02,48.0,0
DC-03,SKU-001,cardiac,0,0,0,6.38,1.303,8.31,0.3463,4,0.0,0.0,1,0,6,18,16.62,-16.62,0.0,1
DC-02,SKU-001,cardiac,41,15,56,13.47,1.195,16.09,0.6705,8,3.48,3.48,2,0,10,24,32.18,23.82,48.0,0
DC-04,SKU-001,cardiac,69,49,118,43.82,0.616,26.99,1.1245,13,4.372,4.37,5,1,7,24,53.97,64.03,48.0,0
DC-02,SKU-006,antibiotic,425,0,425,108.58,0.866,94.05,3.9186,47,4.519,4.52,4,0,23,18,188.09,236.91,48.0,0
DC-05,SKU-004,reefer,180,36,216,22.77,1.31,29.83,1.2428,14,7.241,7.24,6,1,5,24,59.66,156.34,48.0,0
DC-04,SKU-013,reefer,425,73,498,99.02,0.757,75.01,3.1253,37,6.639,6.64,4,0,10,18,150.02,347.98,48.0,0
DC-01,SKU-007,antiviral,0,21,21,110.87,0.719,79.7,3.3207,39,0.264,0.26,2,0,13,18,159.39,-138.39,0.0,1
DC-04,SKU-006,antibiotic,224,0,224,78.32,0.865,67.76,2.8235,33,3.306,3.31,6,1,20,18,135.53,88.47,48.0,0
DC-05,SKU-003,antiviral,0,37,37,17.97,1.338,24.04,1.0016,12,1.539,1.54,3,0,15,12,48.07,-11.07,24.96,1
DC-05,SKU-009,antiviral,46,0,46,48.78,1.058,51.62,2.151,25,0.891,0.89,0,0,0,36,103.25,-57.25,9.76,1
DC-03,SKU-008,antiviral,101,0,101,42.64,1.431,61.01,2.5421,30,1.655,1.66,5,1,1,6,122.02,-21.02,27.93,1
DC-01,SKU-007,antiviral,169,12,181,106.94,0.794,84.91,3.5378,42,2.132,2.13,5,1,12,24,169.81,11.19,39.29,1
DC-04,SKU-015,cardiac,140,73,213,43.05,0.791,34.07,1.4195,17,6.252,6.25,2,0,21,24,68.14,144.86,48.0,0
DC-02,SKU-013,reefer,58,4,62,21.9,0.655,14.35,0.5979,7,4.321,4.32,6,1,0,36,28.7,33.3,48.0,0
DC-03,SKU-006,antibiotic,0,0,0,40.38,1.463,59.07,2.4613,29,0.0,0.0,5,1,8,24,118.14,-118.14,0.0,1
DC-01,SKU-007,antiviral,306,0,306,81.51,0.949,77.34,3.2225,38,3.957,3.96,1,0,20,48,154.68,151.32,48.0,0
DC-01,SKU-011,cardiac,140,0,140,49.94,1.446,72.21,3.0087,36,1.939,1.94,6,1,11,36,144.42,-4.42,34.57,1
DC-03,SKU-001,cardiac,2,0,2,69.67,0.66,46.0,1.9166,22,0.043,0.04,5,1,9,18,92.0,-90.0,0.0,1
DC-03,SKU-005,reefer,147,94,241,89.69,1.426,127.88,5.3282,63,1.885,1.88,6,1,19,12,255.76,-14.76,33.41,1
DC-04,SKU-014,antibiotic,61,0,61,54.96,1.068,58.68,2.4451,29,1.04,1.04,2,0,2,6,117.36,-56.36,13.09,1
DC-02,SKU-012,antiviral,156,20,176,69.68,1.244,86.66,3.6108,43,2.031,2.03,0,0,19,12,173.32,2.68,36.83,1
DC-02,SKU-007,antiviral,341,7,348,78.64,0.994,78.17,3.257,39,4.452,4.45,0,0,4,12,156.34,191.66,48.0,0
DC-05,SKU-015,cardiac,264,13,277,96.07,1.069,102.72,4.28,51,2.697,2.7,2,0,17,18,205.44,71.56,48.0,0
DC-03,SKU-012,antiviral,58,13,71,46.64,0.937,43.71,1.8214,21,1.624,1.62,4,0,4,12,87.43,-16.43,27.45,1
DC-03,SKU-015,cardiac,52,33,85,21.39,0.661,14.13,0.5888,7,6.015,6.01,1,0,6,18,28.26,56.74,48.0,0
DC-04,SKU-008,antiviral,171,26,197,71.02,0.859,60.97,2.5406,30,3.231,3.23,2,0,18,12,121.95,75.05,48.0,0
DC-05,SKU-012,antiviral,119,35,154,34.9,0.787,27.49,1.1453,13,5.603,5.6,1,0,9,24,54.97,99.03,48.0,0
DC-02,SKU-008,antiviral,75,0,75,77.38,0.943,72.96,3.0399,36,1.028,1.03,4,0,6,18,145.92,-70.92,12.83,1
DC-05,SKU-009,antiviral,8,0,8,8.07,1.236,9.97,0.4156,4,0.802,0.8,4,0,8,24,19.95,-11.95,9.63,1
DC-04,SKU-012,antiviral,10,0,10,7.97,0.866,6.9,0.2875,3,1.449,1.45,0,0,15,24,13.8,-3.8,24.34,1
DC-02,SKU-009,antiviral,333,124,457,89.71,0.825,74.02,3.0841,37,6.174,6.17,6,1,9,48,148.04,308.96,48.0,0
DC-01,SKU-002,reefer,194,167,361,114.72,1.336,153.22,6.3842,76,2.356,2.36,5,1,11,24,306.44,54.56,44.64,1
DC-03,SKU-010,reefer,336,51,387,71.91,1.333,95.84,3.9935,47,4.038,4.04,6,1,2,18,191.69,195.31,48.0,0
DC-05,SKU-003,antiviral,67,0,67,39.17,0.853,33.43,1.3931,16,2.004,2.0,1,0,12,36,66.87,0.13,36.61,1
DC-02,SKU-009,antiviral,72,1,73,18.02,1.416,25.53,1.0637,12,2.86,2.86,6,1,12,24,51.06,21.94,48.0,0
DC-03,SKU-007,antiviral,169,12,181,60.94,0.779,47.5,1.9793,23,3.81,3.81,0,0,3,12,95.0,86.0,48.0,0
DC-05,SKU-012,antiviral,83,0,83,99.87,1.042,104.1,4.3377,52,0.797,0.8,4,0,5,24,208.21,-125.21,7.15,1
DC-04,SKU-012,antiviral,209,0,209,40.57,0.601,24.39,1.0162,12,8.57,8.57,4,0,13,18,48.78,160.22,48.0,0
DC-01,SKU-001,cardiac,188,4,192,61.96,0.946,58.61,2.4422,29,3.276,3.28,5,1,11,18,117.23,74.77,48.0,0
DC-01,SKU-005,reefer,170,99,269,88.6,0.651,57.67,2.403,28,4.664,4.66,0,0,17,18,115.34,153.66,48.0,0
DC-02,SKU-004,reefer,27,12,39,6.22,1.152,7.17,0.2987,3,5.44,5.44,1,0,2,12,14.34,24.66,48.0,0
DC-02,SKU-011,cardiac,148,28,176,48.18,1.059,51.0,2.125,25,3.451,3.45,0,0,23,12,102.0,74.0,48.0,0
DC-05,SKU-008,antiviral,507,0,507,103.88,1.338,139.04,5.7931,69,3.647,3.65,4,0,4,18,278.07,228.93,48.0,0
DC-05,SKU-015,cardiac,56,2,58,34.63,1.002,34.69,1.4453,17,1.672,1.67,6,1,0,36,69.38,-11.38,28.37,1
DC-05,SKU-001,cardiac,465,0,465,93.09,1.075,100.11,4.1714,50,4.645,4.64,6,1,14,6,200.23,264.77,48.0,0
DC-01,SKU-014,antibiotic,211,13,224,47.47,0.742,35.21,1.4672,17,6.361,6.36,6,1,21,48,70.43,153.57,48.0,0
DC-02,SKU-011,cardiac,465,6,471,109.84,1.132,124.3,5.1793,62,3.789,3.79,4,0,10,24,248.61,222.39,48.0,0
DC-05,SKU-013,reefer,59,22,81,17.11,0.749,12.82,0.534,6,6.32,6.32,4,0,15,18,25.63,55.37,48.0,1
DC-01,SKU-013,reefer,0,82,82,52.21,1.037,54.16,2.2566,27,1.514,1.51,4,0,0,48,108.32,-26.32,24.37,1
DC-03,SKU-005,reefer,203,150,353,68.04,0.804,54.67,2.2781,27,6.456,6.46,4,0,6,36,109.35,243.65,48.0,0
DC-03,SKU-005,reefer,231,14,245,50.82,0.752,38.23,1.593,19,6.408,6.41,3,0,0,24,76.46,168.54,48.0,0
DC-02,SKU-014,antibiotic,40,84,124,77.24,1.395,107.74,4.4893,53,1.151,1.15,1,0,2,36,215.49,-91.49,15.82,1
DC-04,SKU-015,cardiac,44,5,49,15.46,0.879,13.58,0.5659,6,3.608,3.61,1,0,15,24,27.16,21.84,48.0,0
DC-04,SKU-006,antibiotic,195,0,195,77.02,1.055,81.24,3.3852,40,2.4,2.4,3,0,12,24,162.49,32.51,45.79,1
DC-02,SKU-010,reefer,234,0,234,89.59,1.294,115.94,4.8308,57,2.018,2.02,2,0,17,24,231.88,2.12,36.64,1
DC-01,SKU-008,antiviral,390,0,390,97.86,1.42,138.98,5.7909,69,2.806,2.81,5,1,8,12,277.97,112.03,48.0,0
DC-04,SKU-010,reefer,141,0,141,49.19,0.635,31.25,1.3019,15,4.513,4.51,0,0,6,12,62.49,78.51,48.0,0
DC-02,SKU-002,reefer,190,112,302,60.2,0.897,54.01,2.2504,27,5.592,5.59,0,0,21,36,108.02,193.98,48.0,0
DC-03,SKU-014,antibiotic,2,2,4,4.89,0.625,3.06,0.1273,1,1.309,1.31,3,0,14,48,6.11,-2.11,23.57,1
DC-04,SKU-014,antibiotic,211,0,211,91.11,1.43,130.25,5.4269,65,1.62,1.62,2,0,14,36,260.49,-49.49,26.9,1
DC-03,SKU-001,cardiac,115,0,115,76.43,0.943,72.05,3.0019,36,1.596,1.6,1,0,13,24,144.09,-29.09,26.32,1
DC-02,SKU-004,reefer,287,76,363,72.24,1.227,88.66,3.6942,44,4.094,4.09,5,1,19,36,177.32,185.68,48.0,0
DC-04,SKU-003,antiviral,8,6,14,7.04,0.699,4.92,0.2049,2,2.847,2.85,6,1,20,18,9.83,4.17,48.0,0
DC-03,SKU-011,cardiac,93,23,116,24.45,0.929,22.71,0.9464,11,5.107,5.11,4,0,14,24,45.43,70.57,48.0,0
DC-05,SKU-012,antiviral,243,301,544,96.46,0.987,95.18,3.966,47,5.715,5.72,5,1,23,36,190.37,353.63,48.0,1
DC-05,SKU-007,antiviral,268,0,268,90.19,1.03,92.86,3.8692,46,2.886,2.89,5,1,11,18,185.72,82.28,48.0,1
