dc_id,sku_id,category,urgency_score,shortage_probability,hours_until_shortage,requested_quantity,effective_stock,projected_48h_sales,safety_stock
DC-03,SKU-002,reefer,67.7,0.9962804,15.488677,292,118,206.50080000000003,51
DC-05,SKU-013,reefer,67.7,0.9961104,15.524252,87,28,49.4736,12
DC-01,SKU-002,reefer,67.6,0.99924207,15.555431,18,7,13.0992,3
DC-03,SKU-003,antiviral,67.6,0.99741155,15.536025,46,15,27.657600000000002,6
DC-03,SKU-007,antiviral,67.5,0.99621946,15.616973,42,14,25.488,6
DC-04,SKU-013,reefer,67.4,0.9953271,15.662666,48,17,30.561600000000002,7
DC-01,SKU-002,reefer,67.3,0.99513125,15.673616,40,14,24.5424,6
DC-01,SKU-005,reefer,67.2,0.9689168,15.76368,209,79,137.28480000000002,34
DC-01,SKU-009,antiviral,67.1,0.98852813,15.791024,273,111,192.06239999999997,48
DC-03,SKU-006,antibiotic,67.1,0.9774878,15.771468,46,14,24.407999999999998,6
DC-01,SKU-002,reefer,67.0,0.98689085,15.835829,76,21,36.672,9
DC-02,SKU-014,antibiotic,67.0,0.9845616,15.847054,298,124,215.4864,53
DC-05,SKU-011,cardiac,67.0,0.9822467,15.854269,389,130,224.4384,56
DC-01,SKU-001,cardiac,66.9,0.9973604,15.872959,410,157,271.632,67
DC-01,SKU-004,reefer,66.9,0.99040365,15.904846,350,146,255.04319999999998,63
DC-03,SKU-014,antibiotic,66.9,0.9817409,15.880149,379,157,272.2896,68
DC-04,SKU-014,antibiotic,66.9,0.9766445,15.910471,241,69,117.888,29
DC-04,SKU-008,antiviral,66.8,0.99869055,15.930564,407,167,291.072,72
DC-02,SKU-006,antibiotic,66.8,0.99722916,15.93025,103,44,75.864,18
DC-01,SKU-004,reefer,66.7,0.9989505,15.994325,20,6,11.3856,2
DC-03,SKU-003,antiviral,66.7,0.99893504,15.990568,18,7,12.931199999999999,3
DC-04,SKU-010,reefer,66.7,0.9959059,15.9775715,326,134,230.86560000000003,57
DC-03,SKU-006,antibiotic,66.6,0.995618,16.046635,245,65,112.45439999999999,28
DC-02,SKU-005,reefer,66.6,0.9712327,16.045172,181,52,89.44319999999999,22
DC-01,SKU-005,reefer,66.5,0.9972403,16.09215,355,139,239.976,59
DC-03,SKU-007,antiviral,66.5,0.9961539,16.086914,99,43,73.6608,18
DC-02,SKU-014,antibiotic,66.4,0.98670155,16.114555,237,104,178.22879999999998,44
DC-05,SKU-001,cardiac,66.3,0.99790597,16.152624,43,17,29.736000000000004,7
DC-04,SKU-009,antiviral,66.3,0.9930998,16.190832,12,5,8.8992,2
DC-01,SKU-007,antiviral,66.1,0.9945621,16.249266,173,58,99.9312,24
DC-05,SKU-010,reefer,66.0,0.99612135,16.320549,461,201,341.2368,85
DC-03,SKU-004,reefer,66.0,0.9946443,16.302864,142,62,104.9904,26
DC-02,SKU-014,antibiotic,65.8,0.99371207,16.435352,89,31,52.824,13
DC-04,SKU-005,reefer,65.8,0.99329454,16.403234,316,131,222.1728,55
DC-02,SKU-004,reefer,65.8,0.9927147,16.43698,318,131,222.3648,55
DC-03,SKU-011,cardiac,65.8,0.9851045,16.403584,322,103,175.46880000000002,43
DC-03,SKU-013,reefer,65.7,0.9848701,16.47413,330,146,247.88639999999998,61
DC-02,SKU-006,antibiotic,65.7,0.971848,16.441893,363,128,216.33599999999998,54
DC-04,SKU-008,antiviral,65.6,0.9942431,16.488813,237,75,127.5744,31
DC-02,SKU-013,reefer,65.5,0.9976629,16.566685,168,70,118.72319999999999,29
DC-02,SKU-012,antiviral,65.5,0.9971711,16.541082,96,30,51.6672,12
DC-03,SKU-003,antiviral,65.2,0.9872158,16.706415,275,110,185.11679999999998,46
DC-04,SKU-002,reefer,65.1,0.99479806,16.763342,190,84,141.1968,35
DC-04,SKU-008,antiviral,65.0,0.9962429,16.799335,33,13,22.7712,5
DC-05,SKU-007,antiviral,64.7,0.9885689,16.964905,295,124,207.44639999999998,51
DC-04,SKU-008,antiviral,64.6,0.9957391,16.981691,12,3,5.6495999999999995,1
DC-05,SKU-003,antiviral,64.5,0.99759054,17.020952,112,51,84.7008,21
DC-04,SKU-013,reefer,64.5,0.9954633,17.043495,183,78,129.5376,32
DC-03,SKU-002,reefer,64.4,0.99140394,17.069487,339,137,227.54879999999997,56
DC-04,SKU-006,antibiotic,64.4,0.9881926,17.103678,190,73,123.144,30
DC-02,SKU-010,reefer,64.4,0.964356,17.10949,82,34,56.3184,14
DC-01,SKU-015,cardiac,64.2,0.9954478,17.164465,381,169,279.42719999999997,69
DC-04,SKU-003,antiviral,64.2,0.98914754,17.18277,362,164,270.52320000000003,67
DC-04,SKU-003,antiviral,64.2,0.98024887,17.190825,427,198,326.8032,81
DC-02,SKU-001,cardiac,64.1,0.9991246,17.208754,137,52,86.4864,21
DC-05,SKU-009,antiviral,64.1,0.9945403,17.25594,228,89,147.4992,36
DC-02,SKU-012,antiviral,64.0,0.99762946,17.30076,33,15,24.9792,6
DC-01,SKU-008,antiviral,64.0,0.99629575,17.273064,89,38,63.9888,15
DC-02,SKU-011,cardiac,64.0,0.97897744,17.27554,31,11,19.0272,4
DC-03,SKU-015,cardiac,64.0,0.953399,17.259241,372,159,262.1616,65
DC-02,SKU-006,antibiotic,63.9,0.99711215,17.31867,42,18,30.4176,7
DC-05,SKU-006,antibiotic,63.9,0.9902773,17.34943,197,67,110.544,27
DC-05,SKU-001,cardiac,63.7,0.9935422,17.439585,394,162,264.9504,66
DC-01,SKU-011,cardiac,63.6,0.9924785,17.477318,418,180,292.9296,73
DC-01,SKU-013,reefer,63.5,0.99730563,17.515444,368,166,269.3568,67
DC-03,SKU-011,cardiac,63.5,0.9934018,17.523613,124,50,82.2192,20
DC-01,SKU-012,antiviral,63.5,0.98323697,17.505058,237,96,157.0896,39
DC-01,SKU-008,antiviral,63.4,0.9927676,17.569248,198,80,130.7664,32
DC-02,SKU-005,reefer,63.4,0.98799676,17.544035,281,107,175.7088,43
DC-03,SKU-008,antiviral,63.3,0.9939883,17.632753,48,19,32.04,8
DC-03,SKU-001,cardiac,63.2,0.99740297,17.65682,79,37,60.8976,15
DC-01,SKU-005,reefer,63.2,0.986299,17.666334,341,115,186.9408,46
DC-05,SKU-008,antiviral,63.1,0.9936608,17.70303,139,47,76.176,19
DC-05,SKU-009,antiviral,63.0,0.9891322,17.777098,254,116,187.95839999999998,46
DC-04,SKU-009,antiviral,62.9,0.9949655,17.818047,184,78,126.2064,31
DC-03,SKU-011,cardiac,62.9,0.9914997,17.82203,257,92,148.128,37
DC-03,SKU-005,reefer,62.9,0.972313,17.820913,377,178,287.976,71
DC-05,SKU-004,reefer,62.8,0.9972313,17.863848,162,60,96.70080000000002,24
DC-05,SKU-002,reefer,62.6,0.991074,17.957853,283,95,152.8464,38
DC-05,SKU-001,cardiac,62.3,0.98010343,18.110981,255,123,196.96319999999997,49
DC-04,SKU-008,antiviral,62.2,0.99136895,18.164679,405,187,299.1216,74
DC-05,SKU-010,reefer,62.2,0.9900283,18.140589,166,80,128.496,32
DC-02,SKU-007,antiviral,62.1,0.9950583,18.188957,93,43,68.8416,17
DC-01,SKU-005,reefer,62.1,0.9835275,18.195946,195,92,147.576,36
DC-04,SKU-011,cardiac,62.0,0.9925828,18.256618,406,172,272.8896,68
DC-02,SKU-011,cardiac,61.9,0.991289,18.270931,330,150,238.4304,59
DC-05,SKU-015,cardiac,61.9,0.98721164,18.287186,330,134,212.6688,53
DC-02,SKU-012,antiviral,61.4,0.99881375,18.529228,31,14,23.28,5
DC-01,SKU-012,antiviral,61.4,0.9960931,18.543005,202,98,154.99200000000002,38
DC-04,SKU-012,antiviral,61.4,0.99228644,18.520962,214,74,116.5776,29
DC-03,SKU-005,reefer,61.4,0.98866117,18.512253,276,118,186.768,46
DC-04,SKU-007,antiviral,61.3,0.9975083,18.55515,131,64,100.9152,25
DC-02,SKU-009,antiviral,61.3,0.98639095,18.564577,190,91,141.7392,35
DC-03,SKU-014,antibiotic,61.3,0.9809505,18.587406,374,156,246.06239999999997,61
DC-01,SKU-007,antiviral,61.3,0.96516544,18.592909,187,81,127.3296,31
DC-04,SKU-013,reefer,61.1,0.99503666,18.66724,129,46,72.3984,18
DC-03,SKU-004,reefer,60.9,0.9906042,18.77748,117,54,84.312,21
DC-01,SKU-015,cardiac,60.9,0.98340386,18.762089,277,126,196.2048,49
DC-05,SKU-002,reefer,60.8,0.9889761,18.819143,97,46,71.6352,17
DC-04,SKU-010,reefer,60.7,0.99602205,18.85481,372,181,281.76,70
DC-02,SKU-010,reefer,60.7,0.9870084,18.84992,83,35,55.4208,13
DC-03,SKU-007,antiviral,60.5,0.9861509,18.9659,61,26,40.6032,10
DC-03,SKU-012,antiviral,60.4,0.9946116,19.030025,292,143,221.9616,55
DC-01,SKU-004,reefer,60.3,0.99186677,19.052153,78,33,51.7776,12
DC-03,SKU-004,reefer,60.3,0.9889137,19.039324,213,87,135.9024,33
DC-05,SKU-013,reefer,60.2,0.994749,19.124529,117,56,87.5856,21
DC-01,SKU-015,cardiac,60.2,0.9914135,19.082525,223,93,144.48,36
DC-01,SKU-008,antiviral,60.2,0.97915787,19.093063,422,212,329.8464,82
DC-01,SKU-005,reefer,60.1,0.99518424,19.153486,378,180,278.6784,69
DC-02,SKU-013,reefer,60.0,0.998218,19.203234,146,74,114.8976,28
DC-04,SKU-013,reefer,59.9,0.9971745,19.255665,202,58,89.9904,22
DC-05,SKU-004,reefer,59.9,0.99470264,19.251883,100,29,45.0048,11
DC-03,SKU-014,antibiotic,59.8,0.98404443,19.272974,94,34,52.7808,13
DC-04,SKU-013,reefer,59.6,0.99773324,19.39284,156,66,101.6112,25
DC-01,SKU-015,cardiac,59.6,0.99722725,19.412413,388,193,297.3744,74
DC-02,SKU-008,antiviral,59.6,0.99378645,19.383057,16,8,12.4416,3
DC-02,SKU-010,reefer,59.5,0.98841304,19.455322,189,94,145.3776,36
DC-02,SKU-010,reefer,59.5,0.98567176,19.44289,335,137,210.024,52
DC-01,SKU-005,reefer,59.5,0.96913445,19.425858,358,160,248.33280000000002,62
DC-03,SKU-001,cardiac,59.5,0.9582889,19.446169,376,154,238.03680000000003,59
DC-05,SKU-015,cardiac,59.2,0.99183613,19.591465,241,71,107.8704,26
DC-01,SKU-007,antiviral,59.2,0.9918053,19.600445,266,129,196.76640000000003,49
DC-04,SKU-003,antiviral,59.2,0.9753661,19.58734,289,148,226.21439999999998,56
DC-04,SKU-013,reefer,59.1,0.9966192,19.621183,409,197,300.1248,75
DC-03,SKU-006,antibiotic,59.1,0.99486333,19.618872,302,140,213.38400000000001,53
DC-05,SKU-011,cardiac,59.0,0.99745303,19.6917,121,48,73.4736,18
DC-01,SKU-014,antibiotic,59.0,0.9952974,19.673788,295,139,212.86079999999998,53
DC-02,SKU-004,reefer,59.0,0.97328734,19.673084,409,206,312.5856,78
DC-05,SKU-005,reefer,59.0,0.9358324,19.663376,257,120,181.3536,45
DC-01,SKU-001,cardiac,58.9,0.99745864,19.706184,189,56,84.91199999999999,21
DC-01,SKU-011,cardiac,58.9,0.99733365,19.707458,367,176,266.74559999999997,66
DC-05,SKU-015,cardiac,58.9,0.9903232,19.714705,237,101,153.8784,38
DC-03,SKU-015,cardiac,58.9,0.9833915,19.732216,327,152,230.32319999999999,57
DC-05,SKU-014,antibiotic,58.8,0.99758685,19.767593,34,16,24.3984,6
DC-04,SKU-002,reefer,58.8,0.99531674,19.79581,433,221,335.8272,83
DC-04,SKU-008,antiviral,58.7,0.99806374,19.82735,206,62,94.0176,23
DC-03,SKU-002,reefer,58.7,0.99091816,19.815653,127,49,74.4336,18
DC-02,SKU-005,reefer,58.7,0.9891755,19.839603,174,52,78.73920000000001,19
DC-02,SKU-002,reefer,58.6,0.9964964,19.88176,152,56,85.2096,21
DC-05,SKU-015,cardiac,58.6,0.9888409,19.856651,327,142,214.6512,53
DC-02,SKU-007,antiviral,58.5,0.9929196,19.93154,360,178,268.1856,67
DC-01,SKU-006,antibiotic,58.5,0.9686462,19.91765,363,163,245.90879999999999,61
DC-02,SKU-008,antiviral,58.4,0.9954033,19.944159,28,14,21.7008,5
DC-04,SKU-014,antibiotic,58.4,0.9903504,19.989487,60,19,28.9632,7
DC-03,SKU-012,antiviral,58.2,0.9945918,20.061222,65,28,43.0032,10
DC-01,SKU-001,cardiac,58.1,0.9966629,20.135801,122,50,75.8448,18
DC-01,SKU-001,cardiac,58.0,0.99561465,20.159544,141,52,78.44640000000001,19
DC-04,SKU-007,antiviral,57.8,0.95513874,20.270323,289,154,229.30079999999998,57
DC-04,SKU-011,cardiac,57.7,0.99783915,20.322647,16,7,11.798399999999999,2
DC-04,SKU-008,antiviral,57.7,0.9947305,20.324804,132,71,106.32,26
DC-03,SKU-005,reefer,57.7,0.98769844,20.29672,105,49,73.6464,18
DC-03,SKU-010,reefer,57.7,0.97299623,20.292425,203,92,137.3328,34
DC-05,SKU-001,cardiac,57.6,0.98373324,20.344563,364,147,219.15359999999998,54
DC-02,SKU-013,reefer,57.6,0.9820524,20.34168,122,58,86.7024,21
DC-01,SKU-008,antiviral,57.5,0.9954484,20.418907,107,46,69.10079999999999,17
DC-04,SKU-012,antiviral,57.5,0.99072886,20.414833,62,22,32.9424,8
DC-05,SKU-006,antibiotic,57.5,0.9882096,20.421593,330,128,189.9408,47
DC-01,SKU-001,cardiac,57.4,0.9841769,20.436867,280,148,220.0272,55
DC-03,SKU-006,antibiotic,57.4,0.94777393,20.444721,226,123,182.5728,45
DC-01,SKU-007,antiviral,57.3,0.9945741,20.485994,209,66,98.1936,24
DC-01,SKU-007,antiviral,57.1,0.9976979,20.610117,55,30,44.3664,11
DC-03,SKU-002,reefer,57.0,0.99735415,20.621925,395,207,304.56,76
DC-02,SKU-005,reefer,57.0,0.9949602,20.648218,30,12,18.6288,4
DC-02,SKU-008,antiviral,57.0,0.98982996,20.663116,298,146,215.71680000000003,53
DC-02,SKU-008,antiviral,56.9,0.9956571,20.693813,289,143,209.04000000000002,52
DC-03,SKU-004,reefer,56.8,0.9945802,20.747595,40,20,30.1056,7
DC-05,SKU-003,antiviral,56.8,0.98977715,20.72669,220,95,139.4832,34
DC-01,SKU-010,reefer,56.7,0.99637294,20.804724,69,33,48.6096,12
DC-01,SKU-006,antibiotic,56.7,0.9942041,20.793352,282,129,188.83679999999998,47
DC-05,SKU-012,antiviral,56.7,0.9828215,20.773628,320,171,250.488,62
DC-04,SKU-006,antibiotic,56.7,0.59437585,20.791304,141,45,66.744,16
DC-01,SKU-006,antibiotic,56.6,0.9975085,20.814638,144,72,106.0032,26
DC-03,SKU-005,reefer,56.6,0.97707283,20.824114,305,139,203.2176,50
DC-05,SKU-014,antibiotic,56.5,0.99769706,20.890263,41,20,29.836800000000004,7
DC-03,SKU-001,cardiac,56.5,0.9974988,20.901785,207,94,137.52960000000002,34
DC-03,SKU-012,antiviral,56.4,0.9957313,20.916004,104,45,66.5808,16
DC-04,SKU-012,antiviral,56.4,0.9944206,20.922993,393,189,276.2112,69
DC-01,SKU-003,antiviral,56.2,0.9723164,21.027128,210,105,153.12959999999998,38
DC-04,SKU-010,reefer,56.0,0.99729294,21.104576,160,76,111.2832,27
DC-04,SKU-006,antibiotic,56.0,0.9937981,21.128708,125,67,97.91040000000001,24
DC-05,SKU-012,antiviral,56.0,0.99207824,21.139421,19,9,13.6176,3
DC-02,SKU-008,antiviral,55.9,0.99736804,21.158117,230,100,145.17600000000002,36
DC-04,SKU-004,reefer,55.9,0.9971016,21.186146,161,89,129.35999999999999,32
DC-03,SKU-008,antiviral,55.9,0.9956577,21.174034,240,97,141.0288,35
DC-02,SKU-014,antibiotic,55.8,0.92965883,21.195843,292,163,237.144,59
DC-02,SKU-002,reefer,55.7,0.99794716,21.253181,34,18,27.048000000000002,6
DC-03,SKU-011,cardiac,55.7,0.9792747,21.283472,251,140,202.5408,50
DC-01,SKU-006,antibiotic,55.6,0.9981548,21.305952,147,73,106.33919999999999,26
DC-01,SKU-003,antiviral,55.6,0.99680847,21.315596,240,107,154.9824,38
DC-04,SKU-008,antiviral,55.5,0.99684155,21.35045,143,70,101.62559999999999,25
DC-02,SKU-012,antiviral,55.4,0.9980812,21.412827,62,35,51.076800000000006,12
DC-05,SKU-014,antibiotic,55.4,0.9978143,21.422297,133,72,104.93280000000001,26
DC-05,SKU-007,antiviral,55.3,0.9947659,21.43848,30,15,22.3824,5
DC-02,SKU-003,antiviral,55.2,0.9985077,21.522833,89,37,53.630399999999995,13
DC-03,SKU-013,reefer,55.2,0.9974348,21.5122,26,8,12.216000000000001,3
DC-02,SKU-007,antiviral,55.2,0.9939306,21.511427,256,130,187.872,46
DC-04,SKU-002,reefer,55.1,0.99515426,21.55005,34,13,19.9632,4
DC-05,SKU-008,antiviral,55.0,0.99850863,21.603483,37,18,26.654400000000003,6
DC-04,SKU-013,reefer,55.0,0.9946392,21.604935,359,202,288.70079999999996,72
DC-04,SKU-013,reefer,55.0,0.9938069,21.595352,261,138,198.1824,49
DC-02,SKU-012,antiviral,55.0,0.9830951,21.596405,304,122,175.8288,43
DC-05,SKU-009,antiviral,55.0,0.9725074,21.617815,25,10,15.470399999999998,3
DC-04,SKU-010,reefer,55.0,0.9246889,21.585133,137,52,75.39359999999999,18
DC-03,SKU-001,cardiac,54.9,0.997253,21.632607,41,20,29.001599999999996,7
DC-05,SKU-001,cardiac,54.9,0.9928518,21.64503,180,94,135.0096,33
DC-05,SKU-004,reefer,54.9,0.91175616,21.62898,349,144,206.25119999999998,51
DC-04,SKU-008,antiviral,54.7,0.9424243,21.736933,116,41,59.616,14
DC-03,SKU-014,antibiotic,54.6,0.99112403,21.794512,201,106,151.4976,37
DC-02,SKU-013,reefer,54.5,0.99869734,21.834719,407,224,318.5664,79
DC-01,SKU-011,cardiac,54.5,0.995182,21.850138,25,12,17.616,4
DC-01,SKU-012,antiviral,54.4,0.9749485,21.910173,44,23,32.9424,8
DC-01,SKU-011,cardiac,54.2,0.99810046,21.96985,401,216,306.336,76
DC-04,SKU-001,cardiac,54.2,0.9925598,22.002918,351,185,262.40160000000003,65
DC-02,SKU-009,antiviral,54.1,0.995939,22.026028,244,82,116.11679999999998,29
DC-02,SKU-015,cardiac,54.1,0.9919254,22.050209,137,70,99.3504,24
DC-02,SKU-010,reefer,54.0,0.99644744,22.103336,39,20,29.1312,7
DC-02,SKU-002,reefer,54.0,0.9950009,22.085014,253,109,154.6224,38
DC-02,SKU-015,cardiac,54.0,0.9927409,22.097717,61,32,45.4992,11
DC-03,SKU-012,antiviral,54.0,0.9917773,22.093283,253,138,195.5904,48
DC-05,SKU-010,reefer,54.0,0.9916837,22.088938,390,203,286.9008,71
DC-02,SKU-001,cardiac,54.0,0.9904269,22.096779,135,47,67.29599999999999,16
DC-05,SKU-012,antiviral,54.0,0.98619694,22.09024,81,44,62.64,15
DC-04,SKU-015,cardiac,54.0,0.9667594,22.101213,310,157,221.54399999999998,55
DC-02,SKU-001,cardiac,53.9,0.9984126,22.116423,60,34,48.537600000000005,12
DC-02,SKU-010,reefer,53.9,0.9977102,22.137177,21,11,16.1664,4
DC-03,SKU-013,reefer,53.6,0.9847948,22.258123,49,24,34.4544,8
DC-04,SKU-005,reefer,53.6,0.9726254,22.282192,51,27,38.7168,9
DC-04,SKU-004,reefer,53.4,0.99924564,22.386824,385,219,306.4416,76
DC-05,SKU-008,antiviral,53.3,0.9876368,22.43225,381,199,277.4784,69
DC-03,SKU-004,reefer,53.3,0.9787668,22.411966,193,110,153.8976,38
DC-03,SKU-003,antiviral,53.1,0.9983785,22.521637,164,89,124.19999999999999,31
DC-02,SKU-011,cardiac,53.1,0.9970457,22.506628,214,77,107.7648,26
DC-02,SKU-014,antibiotic,53.1,0.9751168,22.518993,204,95,132.4992,33
DC-04,SKU-014,antibiotic,53.0,0.9967039,22.553926,383,219,304.5168,76
DC-02,SKU-013,reefer,53.0,0.9964547,22.537458,350,202,281.5008,70
DC-01,SKU-010,reefer,53.0,0.988298,22.560493,144,67,94.896,23
DC-01,SKU-013,reefer,52.9,0.99590474,22.623451,87,36,50.923199999999994,12
DC-04,SKU-006,antibiotic,52.9,0.9928973,22.604233,126,75,104.184,26
DC-02,SKU-014,antibiotic,52.9,0.9863028,22.627169,177,77,107.928,26
DC-03,SKU-006,antibiotic,52.8,0.9973476,22.647877,133,78,108.15360000000001,27
DC-04,SKU-012,antiviral,52.8,0.99678195,22.65904,222,100,139.4928,34
DC-02,SKU-010,reefer,52.7,0.99736446,22.724173,271,99,137.2944,34
DC-05,SKU-006,antibiotic,52.7,0.9818974,22.703812,80,45,63.35040000000001,15
DC-05,SKU-004,reefer,52.7,0.96298695,22.686222,415,247,343.3104,85
DC-04,SKU-014,antibiotic,52.6,0.9992859,22.758085,382,206,285.024,71
DC-05,SKU-012,antiviral,52.6,0.9832275,22.747263,145,78,108.2208,27
DC-03,SKU-003,antiviral,52.6,0.97457415,22.72986,153,61,84.7536,21
DC-01,SKU-002,reefer,52.5,0.9950897,22.78507,139,67,92.9616,23
DC-02,SKU-013,reefer,52.4,0.9947726,22.853825,117,46,63.8832,15
DC-01,SKU-009,antiviral,52.4,0.97921705,22.852186,259,111,153.504,38
DC-04,SKU-015,cardiac,52.3,0.99552,22.903667,205,96,132.2112,33
DC-02,SKU-012,antiviral,52.3,0.9865167,22.914387,299,158,215.72160000000002,53
DC-04,SKU-015,cardiac,52.3,0.9809595,22.875864,207,115,159.35039999999998,39
DC-02,SKU-009,antiviral,52.3,0.946909,22.87727,414,245,336.0576,84
DC-01,SKU-002,reefer,52.2,0.9974341,22.931103,361,206,283.8864,70
DC-02,SKU-001,cardiac,52.2,0.9946824,22.927345,319,162,223.8336,55
DC-05,SKU-011,cardiac,52.2,0.9768009,22.93879,195,97,134.016,33
DC-03,SKU-005,reefer,52.2,0.9275172,22.950068,333,157,216.55679999999998,54
DC-02,SKU-003,antiviral,52.1,0.9937264,23.003916,182,80,110.4384,27
DC-05,SKU-006,antibiotic,52.0,0.9977048,23.018328,27,15,21.3504,5
DC-03,SKU-002,reefer,52.0,0.98251903,23.0506,264,125,171.504,42
DC-01,SKU-012,antiviral,51.7,0.9950206,23.19681,43,25,34.5984,8
DC-02,SKU-007,antiviral,51.5,0.9924899,23.275663,43,15,20.654400000000003,5
DC-01,SKU-010,reefer,51.3,0.99749315,23.37372,52,20,27.695999999999998,6
DC-02,SKU-014,antibiotic,51.3,0.9899076,23.367521,273,118,160.9056,40
DC-01,SKU-007,antiviral,51.2,0.99673957,23.41983,46,22,30.2016,7
DC-03,SKU-015,cardiac,51.2,0.9917133,23.405422,47,20,27.695999999999998,6
DC-04,SKU-009,antiviral,51.2,0.9903014,23.41281,297,183,247.848,61
DC-02,SKU-005,reefer,51.2,0.9864818,23.426092,41,24,32.9664,8
DC-03,SKU-010,reefer,51.1,0.9925228,23.458647,73,33,45.014399999999995,11
DC-05,SKU-007,antiviral,51.1,0.99009633,23.454725,397,235,316.9728,79
DC-02,SKU-003,antiviral,51.0,0.9945373,23.542633,220,114,154.5456,38
DC-03,SKU-014,antibiotic,51.0,0.9940335,23.542553,12,4,6.1104,1
DC-02,SKU-007,antiviral,51.0,0.99121726,23.539171,318,137,185.04,46
DC-03,SKU-011,cardiac,50.9,0.99795294,23.591957,14,6,8.7792,2
DC-03,SKU-007,antiviral,50.9,0.99785894,23.565134,164,83,111.8304,27
DC-05,SKU-015,cardiac,50.9,0.9973948,23.58098,223,83,112.3872,28
DC-04,SKU-001,cardiac,50.7,0.99801105,23.683111,140,64,87.2016,21
DC-02,SKU-012,antiviral,50.7,0.97222084,23.66514,56,24,32.568,8
DC-05,SKU-004,reefer,50.7,0.95342165,23.645613,217,128,172.4256,43
DC-04,SKU-002,reefer,50.6,0.9947672,23.69183,63,37,50.601600000000005,12
DC-05,SKU-011,cardiac,50.6,0.99410397,23.715755,376,218,292.71360000000004,73
DC-05,SKU-003,antiviral,50.5,0.9953302,23.749096,139,67,91.08959999999999,22
DC-02,SKU-003,antiviral,50.5,0.9937045,23.749804,136,59,79.80000000000001,19
DC-01,SKU-015,cardiac,50.4,0.9975547,23.785707,338,209,280.6272,70
DC-03,SKU-014,antibiotic,50.4,0.99668723,23.809095,66,34,46.2144,11
DC-04,SKU-013,reefer,50.4,0.95599765,23.806404,255,145,194.67839999999998,48
DC-01,SKU-003,antiviral,50.3,0.98256576,23.837978,148,90,120.888,30
DC-02,SKU-009,antiviral,50.2,0.99710256,23.920261,37,20,27.9264,6
DC-04,SKU-006,antibiotic,50.2,0.98871464,23.911,85,40,54.36,13
DC-05,SKU-008,antiviral,50.2,0.9402012,23.909414,273,116,155.99519999999998,38
DC-05,SKU-003,antiviral,50.1,0.9954509,23.97508,166,61,82.0752,20
DC-04,SKU-015,cardiac,50.0,0.9963648,23.985388,132,76,101.9136,25
DC-05,SKU-012,antiviral,50.0,0.990148,23.981945,233,126,168.7104,42
DC-03,SKU-006,antibiotic,49.9,0.9673999,24.068567,279,130,173.976,43
DC-03,SKU-007,antiviral,49.7,0.9881918,24.123545,106,61,81.6528,20
DC-03,SKU-007,antiviral,49.7,0.97781235,24.154985,311,122,162.7776,40
DC-01,SKU-014,antibiotic,49.7,0.964643,24.146273,289,114,151.7088,37
DC-03,SKU-005,reefer,49.5,0.99351716,24.263725,46,29,39.105599999999995,9
DC-04,SKU-001,cardiac,49.5,0.98655605,24.219069,125,47,63.25920000000001,15
DC-03,SKU-012,antiviral,49.5,0.9821592,24.262568,341,169,224.26080000000002,56
DC-05,SKU-014,antibiotic,49.3,0.9890631,24.3281,251,127,168.35999999999999,42
DC-01,SKU-015,cardiac,49.3,0.9650073,24.322601,377,237,314.1024,78
DC-03,SKU-009,antiviral,49.2,0.9929395,24.371262,91,51,68.0304,17
DC-02,SKU-014,antibiotic,49.2,0.98872143,24.374485,82,53,70.9344,17
DC-05,SKU-007,antiviral,49.2,0.98622686,24.397877,219,82,108.84,27
DC-04,SKU-006,antibiotic,49.2,0.9646614,24.361038,323,208,275.69759999999997,68
DC-04,SKU-002,reefer,49.1,0.99284995,24.429047,70,25,33.4032,8
DC-01,SKU-013,reefer,49.1,0.98946303,24.40882,157,82,108.3168,27
DC-04,SKU-012,antiviral,49.1,0.9862586,24.417208,22,10,13.799999999999999,3
DC-04,SKU-004,reefer,49.1,0.96731323,24.436224,182,113,149.328,37
DC-01,SKU-013,reefer,49.0,0.98493576,24.486174,197,101,133.9392,33
DC-03,SKU-006,antibiotic,49.0,0.98330843,24.473364,313,166,219.552,54
DC-02,SKU-004,reefer,48.9,0.9348011,24.523218,188,104,136.872,34
DC-04,SKU-005,reefer,48.8,0.99794227,24.576805,188,66,87.576,21
DC-02,SKU-002,reefer,48.8,0.9923441,24.559881,115,58,77.09280000000001,19
DC-02,SKU-008,antiviral,48.8,0.99054354,24.566574,126,57,75.9984,18
DC-04,SKU-010,reefer,48.8,0.97997594,24.595325,151,89,116.7936,29
DC-02,SKU-009,antiviral,48.7,0.9940375,24.641848,14,8,11.6736,2
DC-05,SKU-004,reefer,48.6,0.99848336,24.679663,24,11,15.556799999999999,3
DC-05,SKU-001,cardiac,48.6,0.9941012,24.685791,93,43,56.630399999999995,14
DC-05,SKU-015,cardiac,48.6,0.98880196,24.687996,102,59,77.7744,19
DC-01,SKU-003,antiviral,48.6,0.9725648,24.669378,79,32,42.36,10
DC-04,SKU-001,cardiac,48.5,0.97597504,24.727371,387,248,324.4752,81
DC-05,SKU-011,cardiac,48.4,0.9983851,24.78495,29,18,24.3888,6
DC-05,SKU-015,cardiac,48.4,0.97791857,24.765348,89,51,67.752,16
DC-03,SKU-013,reefer,48.3,0.9857248,24.801094,348,196,256.632,64
DC-02,SKU-012,antiviral,48.1,0.9949846,24.915966,198,97,126.8592,31
